,fator_mercado,fator_tamanho,fator_valor,fator_liquidez,fator_momentum
2010-12-03,0.0004920625,-0.0068356465,0.0141822416,-0.0024612364,-0.0063228328
2010-12-06,-0.0040397253,0.0050630569,-0.0061106044,0.0046045715,0.0022824737
2010-12-07,-0.0050892094,0.0047158906,0.0007397487,0.0061117713,-0.0036128897
2010-12-08,-0.0109790629,-0.0014804276,-0.0057430593,0.0090797758,0.0068904860
2010-12-09,-0.0037694783,-0.0079798363,0.0018112650,-0.0017306935,-0.0100399870
2010-12-10,0.0059432299,-0.0022609662,0.0064649442,0.0000584568,-0.0071478062
2010-12-13,0.0091200257,-0.0035100202,0.0029723640,-0.0052555734,-0.0022034766
2010-12-14,-0.0024530776,0.0070732823,0.0031598215,0.0092232013,0.0034329421
2010-12-15,-0.0091257337,-0.0048284698,0.0069206120,0.0056150965,-0.0034879325
2010-12-16,-0.0058090435,-0.0086909337,0.0001070453,-0.0025098911,0.0016361172
2010-12-17,0.0083923833,0.0029759463,0.0036550560,-0.0019319775,0.0049242266
2010-12-20,-0.0092183147,0.0047057280,-0.0020077145,0.0103976112,-0.0020898618
2010-12-21,0.0129188970,-0.0113130156,-0.0022028638,-0.0134117855,-0.0103185102
2010-12-22,0.0035847633,-0.0136006782,0.0014059790,-0.0096938135,-0.0024103508
2010-12-23,0.0004426568,0.0112273730,0.0033507417,0.0060829190,0.0072306013
2010-12-27,-0.0078714378,0.0072605088,0.0031048451,0.0057934392,-0.0001614075
2010-12-28,0.0021081807,0.0018246172,0.0012281219,-0.0071446211,0.0007758469
2010-12-29,0.0105088521,0.0005545868,-0.0040757600,-0.0065554054,0.0037183231
2010-12-30,0.0062965946,0.0062123099,0.0001423685,0.0046684914,0.0037438474
2011-01-03,0.0077638365,-0.0065262383,-0.0058978223,-0.0090878177,-0.0056933016
2011-01-04,0.0044326517,-0.0054568439,0.0078042643,-0.0015081284,-0.0067137480
2011-01-05,0.0089092115,-0.0127786323,0.0061518550,-0.0100121116,-0.0003047879
2011-01-06,-0.0082366941,0.0041013188,0.0021438007,0.0040222900,-0.0040720548
2011-01-07,-0.0101811010,0.0006202133,-0.0008807867,0.0017832257,0.0066808462
2011-01-10,0.0032826534,-0.0008139026,-0.0061004567,0.0018287101,-0.0034087463
2011-01-11,0.0040710010,-0.0043920670,-0.0013466628,-0.0033148106,0.0014029451
2011-01-12,0.0132979285,-0.0052158232,0.0118261576,-0.0024791621,-0.0017642900
2011-01-13,-0.0119694881,0.0006181747,0.0030706134,0.0039231493,0.0032218066
2011-01-14,0.0028586471,0.0039561978,0.0085884314,0.0045854403,0.0011774666
2011-01-17,-0.0026515489,0.0033503717,-0.0003952815,0.0070423763,0.0027156929
2011-01-18,-0.0000355429,0.0037549576,-0.0014424789,0.0002557978,-0.0052335463
2011-01-19,-0.0109384442,0.0033673802,0.0008679852,0.0011220295,-0.0003455561
2011-01-20,-0.0074723358,0.0044942219,0.0007620978,0.0029005907,-0.0083717098
2011-01-21,-0.0065860539,0.0047322949,0.0013521076,0.0061061890,-0.0083034970
2011-01-24,0.0053597619,-0.0012262003,0.0046095601,-0.0009956197,-0.0047294204
2011-01-26,-0.0064178570,-0.0067797899,-0.0045500342,0.0006024418,-0.0002067247
2011-01-27,-0.0075276834,-0.0082555879,0.0054718349,-0.0053530205,-0.0084073460
2011-01-28,-0.0193902869,-0.0039295293,0.0079972316,-0.0015071649,0.0033092666
2011-01-31,-0.0034683864,0.0021940349,0.0005550467,0.0052516828,0.0033000000
2011-02-01,0.0137035856,0.0025226986,0.0039966106,0.0002956335,-0.0049687531
2011-02-02,-0.0108773634,0.0131929144,0.0136607168,0.0242047589,-0.0068243034
2011-02-03,-0.0020551358,-0.0153155420,0.0081769582,-0.0173450112,-0.0063326489
2011-02-04,-0.0205057841,0.0049379207,-0.0043668281,0.0034797490,-0.0021534692
2011-02-07,0.0012973625,-0.0113453623,-0.0004457356,-0.0077652740,-0.0029653159
2011-02-08,0.0044148648,0.0047860211,0.0000075353,0.0016068700,0.0087205479
2011-02-09,-0.0239360947,0.0061728489,0.0028534122,0.0110018589,-0.0063497219
2011-02-10,0.0023323784,-0.0060918261,0.0020687529,-0.0023639842,-0.0046408828
2011-02-11,0.0170280281,-0.0116888322,-0.0041077184,-0.0138752311,0.0037594633
2011-02-14,0.0090728225,0.0031809020,-0.0006751483,-0.0006864602,0.0192044154
2011-02-15,0.0026853718,0.0007702480,-0.0060131159,0.0016528461,0.0066068117
2011-02-16,0.0174756497,-0.0081926426,-0.0035023512,-0.0077927280,-0.0029802015
