,factor,long,short
2006-01-12,-0.00546731151757895,-0.00481197151757895,0.0006553399999999999
2006-01-13,0.002642683980547349,0.003298023980547349,0.0006553399999999999
2006-01-16,0.017089875477616537,0.01774521547761654,0.0006553399999999999
2006-01-17,-0.012014621764931285,-0.011359281764931284,0.0006553399999999999
2006-01-18,-0.009348825423184489,-0.008693485423184488,0.0006553399999999999
2006-01-19,0.02877929037704237,0.02940930037704237,0.00063001
2006-01-20,-0.005052387774160325,-0.004422377774160324,0.00063001
2006-01-23,-0.002346865157378405,-0.0017168551573784052,0.00063001
2006-01-24,0.02033526626119249,0.02096527626119249,0.00063001
2006-01-25,,,0.0006303499999999999
2006-01-26,0.015786432299465185,0.016417112299465186,0.00063068
2006-01-27,-0.005681790768664226,-0.005050770768664226,0.00063102
2006-01-30,0.010473628088414049,0.011104648088414049,0.00063102
2006-01-31,0.0030560256566078236,0.0036870456566078236,0.00063102
2006-02-01,0.0020264064648411284,0.0026574264648411283,0.00063102
2006-02-02,-0.031318640758737165,-0.030687280758737168,0.00063136
2006-02-03,-0.0017579246236328334,-0.0011258846236328335,0.0006320399999999999
2006-02-06,0.0009510025344855335,0.0015833825344855335,0.00063238
2006-02-07,-0.02096979564106002,-0.02033707564106002,0.0006327199999999999
2006-02-08,-0.00235615048684432,-0.00172310048684432,0.00063305
2006-02-09,0.00986038817638837,0.01049343817638837,0.00063305
2006-02-10,0.001888505230193595,0.002521555230193595,0.00063305
2006-02-13,-0.02391905405679515,-0.02328600405679515,0.00063305
2006-02-14,0.013571967444758328,0.014205017444758328,0.00063305
2006-02-15,0.01607593517487096,0.01670898517487096,0.00063305
2006-02-16,0.02667702814388131,0.02731007814388131,0.00063305
2006-02-17,0.003706138624006729,0.004339188624006729,0.00063305
2006-02-20,0.0024120803940450813,0.0030451303940450813,0.00063305
2006-02-21,-0.01031155748592336,-0.00967850748592336,0.00063305
2006-02-22,0.00146305648220937,0.00209610648220937,0.00063305
2006-02-23,0.003524247495162915,0.004157297495162915,0.00063305
2006-02-24,0.0047047966345528346,0.005337846634552834,0.00063305
