Id,Nome,Descricao,Ticker,Version,VersionType,ExchangeId,InternalSymbol,InternalCryptoType,CotacaoAtivo,CodigoISINPapel,ElasticSearchId
284,LOCAMERICA S.A.,NULL,$LCAM3,92,I,5,LCAM3,NULL,1,BRLCAMACNOR3,vVRrOXIBooXOYNzv3nnt
285,LOG-IN LOGÍSTICA S.A.,NULL,$LOGN3,92,I,5,LOGN3,NULL,1,BRLOGNACNOR3,t1RsOXIBooXOYNzvuX7q
286,LOG-IN LOGÍSTICA S.A.,NULL,$LOGN12,92,I,5,LOGN12,NULL,1,BRLOGNN01OR7,tlRsOXIBooXOYNzvuX6w
287,LOJAS AMERICANAS S.A.,NULL,$LAME3,92,I,5,LAME3,NULL,1,BRLAMEACNOR9,nVRrOXIBooXOYNzvBnTJ
288,LOJAS AMERICANAS S.A.,NULL,$LAME4,92,I,5,LAME4,NULL,1,BRLAMEACNPR6,nlRrOXIBooXOYNzvBnT8
289,LOJAS RENNER S.A.,NULL,$LREN3,92,I,5,LREN3,NULL,1,BRLRENACNOR1,BlRsOXIBooXOYNzvwn_s
290,LPS BRASIL S.A.,NULL,$LPSB3,92,I,5,LPSB3,NULL,1,BRLPSBACNOR0,zlRsOXIBooXOYNzvv34k
291,LUPATECH S.A.,NULL,$LUPA3,92,I,5,LUPA3,NULL,1,BRLUPAACNOR8,eVRuOXIBooXOYNzvGIZD
292,M DIAS BRANCO S.A.,NULL,$MDIA3,92,I,5,MDIA3,NULL,1,BRMDIAACNOR7,NFRuOXIBooXOYNzvOIc1
293,MAGAZINE LUIZA S.A,NULL,$MGLU3,92,I,5,MGLU3,NULL,1,BRMGLUACNOR2,TVRuOXIBooXOYNzvaYhx
294,MAGNESITA REFRATARIOS S.A.,NULL,$MAGG3,92,I,5,MAGG3,NULL,1,NULL,0FRuOXIBooXOYNzvIoZj
295,MAHLE METAL LEVE S.A.,NULL,$LEVE3,92,I,5,LEVE3,NULL,1,BRLEVEACNOR2,tlRsOXIBooXOYNzvCXq2
296,MANGELS INDUSTRIAL S.A.,NULL,$MGEL3,92,I,5,MGEL3,NULL,1,BRMGELACNOR6,Q1RuOXIBooXOYNzvZ4hG
297,MANGELS INDUSTRIAL S.A.,NULL,$MGEL4,92,I,5,MGEL4,NULL,1,BRMGELACNPR3,RFRuOXIBooXOYNzvZ4h6
298,MARCOPOLO S.A.,NULL,$POMO3,92,I,5,POMO3,NULL,1,BRPOMOACNOR0,BlR5OXIBooXOYNzvQsYw
299,MARCOPOLO S.A.,NULL,$POMO4,92,I,5,POMO4,NULL,1,BRPOMOACNPR7,CVR5OXIBooXOYNzvQsal
