codigo_cvm,ticker_id,codigo_negociacao,data_referencia,ordinarias,preferenciais,totais
6076,101,$FNCN3,2015-06-30,913,0,913
6076,101,$FNCN3,2015-09-30,913,0,913
6076,101,$FNCN3,2015-12-31,913,0,913
6076,101,$FNCN3,2016-03-31,913,0,913
6076,101,$FNCN3,2016-06-30,913,0,913
6076,101,$FNCN3,2016-09-30,913,0,913
6076,101,$FNCN3,2016-12-31,913,0,913
6076,101,$FNCN3,2017-03-31,913,0,913
6076,101,$FNCN3,2017-06-30,913,0,913
6076,101,$FNCN3,2017-09-30,913,0,913
6076,101,$FNCN3,2017-12-31,913,0,913
6076,101,$FNCN3,2018-03-31,913,0,913
6076,101,$FNCN3,2018-06-30,913,0,913
6076,101,$FNCN3,2018-09-30,913,0,913
6076,101,$FNCN3,2018-12-31,913,0,913
6076,101,$FNCN3,2019-03-31,913,0,913
6076,101,$FNCN3,2019-06-30,913,0,913
6076,101,$FNCN3,2019-09-30,913,0,913
6076,101,$FNCN3,2019-12-31,913,0,913
6076,101,$FNCN3,2020-03-31,913,0,913
6076,101,$FNCN3,2020-06-30,913,0,913
6076,101,$FNCN3,2020-09-30,913,0,913
6173,119,$FJTA3,2010-12-31,42745,85489,128234
6173,119,$FJTA3,2011-03-31,42745,85489,128234
6173,119,$FJTA3,2011-06-30,47019,94038,141057
6173,119,$FJTA3,2011-09-30,47137539,94275078,141412617
6173,119,$FJTA3,2011-12-31,47137539,94275078,141412617
6173,119,$FJTA3,2012-03-31,47137539,94275078,141412617
6173,119,$FJTA3,2012-06-30,47137539,94275078,141412617
6173,119,$FJTA3,2012-09-30,47137539,94275078,141412617
6173,119,$FJTA3,2012-12-31,47137539,94275078,141412617
6173,119,$FJTA3,2013-03-31,47137539,94275078,141412617
6173,119,$FJTA3,2013-06-30,47137539,94275078,141412617
6173,119,$FJTA3,2013-09-30,47137539,94275078,141412617
6173,119,$FJTA3,2013-12-31,47137539,94275078,141412617
6173,119,$FJTA3,2014-03-31,47137539,94275078,141412617
6173,119,$FJTA3,2014-06-30,47137539,94275078,141412617
6173,119,$FJTA3,2014-09-30,92832547,84751880,177584427
6173,119,$FJTA3,2014-12-31,92832547,84751880,177584427
6173,119,$FJTA3,2015-03-31,8439322,7704716,16144038
6173,119,$FJTA3,2015-06-30,8439322,7704716,16144038
6173,119,$FJTA3,2015-09-30,27446627,13001621,40448248
6173,119,$FJTA3,2015-12-31,27446627,13001621,40448248
6173,119,$FJTA3,2016-03-31,34581630,13001621,47583251
6173,119,$FJTA3,2016-06-30,44642459,13636110,58278569
6173,119,$FJTA3,2016-09-30,44642459,13636110,58278569
6173,119,$FJTA3,2016-12-31,44642459,13636110,58278569
6173,119,$FJTA3,2017-03-31,46445314,18242898,64688212
6173,119,$FJTA3,2017-06-30,46445314,18242898,64688212
6173,119,$FJTA3,2017-09-30,46445314,18242898,64688212
6173,119,$FJTA3,2017-12-31,46445314,18242898,64688212
6173,119,$FJTA3,2018-03-31,46445314,18242898,64688212
6173,119,$FJTA3,2018-06-30,46445314,18242898,64688212
6173,119,$FJTA3,2018-09-30,46445314,18242898,64688212
6173,119,$FJTA3,2018-12-31,46445314,28417312,74862626
6173,119,$FJTA3,2019-03-31,46445314,38823733,85269047
6173,119,$FJTA3,2019-06-30,46445314,42014484,88459798
6173,119,$FJTA3,2019-09-30,46445314,42015334,88460648
6173,119,$FJTA3,2019-12-31,46445314,42019019,88464333
6173,119,$FJTA3,2020-03-31,46445314,42042380,88487694
6173,119,$FJTA3,2020-06-30,46445314,42043312,88488626
6173,119,$FJTA3,2020-09-30,46445314,42609796,89055110
6173,119,$FJTA3,2020-09-30,46445314,42609796,89055110
6173,120,$FJTA4,2010-12-31,42745,85489,128234
6173,120,$FJTA4,2011-03-31,42745,85489,128234
6173,120,$FJTA4,2011-06-30,47019,94038,141057
6173,120,$FJTA4,2011-09-30,47137539,94275078,141412617
6173,120,$FJTA4,2011-12-31,47137539,94275078,141412617
6173,120,$FJTA4,2012-03-31,47137539,94275078,141412617
6173,120,$FJTA4,2012-06-30,47137539,94275078,141412617
6173,120,$FJTA4,2012-09-30,47137539,94275078,141412617
6173,120,$FJTA4,2012-12-31,47137539,94275078,141412617
6173,120,$FJTA4,2013-03-31,47137539,94275078,141412617
6173,120,$FJTA4,2013-06-30,47137539,94275078,141412617
6173,120,$FJTA4,2013-09-30,47137539,94275078,141412617
6173,120,$FJTA4,2013-12-31,47137539,94275078,141412617
6173,120,$FJTA4,2014-03-31,47137539,94275078,141412617
6173,120,$FJTA4,2014-06-30,47137539,94275078,141412617
6173,120,$FJTA4,2014-09-30,92832547,84751880,177584427
6173,120,$FJTA4,2014-12-31,92832547,84751880,177584427
6173,120,$FJTA4,2015-03-31,8439322,7704716,16144038
6173,120,$FJTA4,2015-06-30,8439322,7704716,16144038
6173,120,$FJTA4,2015-09-30,27446627,13001621,40448248
6173,120,$FJTA4,2015-12-31,27446627,13001621,40448248
6173,120,$FJTA4,2016-03-31,34581630,13001621,47583251
6173,120,$FJTA4,2016-06-30,44642459,13636110,58278569
6173,120,$FJTA4,2016-09-30,44642459,13636110,58278569
6173,120,$FJTA4,2016-12-31,44642459,13636110,58278569
6173,120,$FJTA4,2017-03-31,46445314,18242898,64688212
