,codigo_cvm,ticker,sector_id,data_referencia,demonstrativo_id,nome_demonstrativo,ativos,receita,custos,ROE,ROA,depreciacao,wc,capex
22459,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-1149,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22460,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-9,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22461,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-3858397,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22462,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-3239344,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22463,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-443078,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22464,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-130715,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22465,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-23477,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22466,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-7442,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22467,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-347,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22468,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-10721,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22469,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-2115,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22470,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-1149,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22471,21121,SULA4,3,2017-03-31,21482,itr,21985836,4275018,-9,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22472,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-4034641,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22473,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-3450608,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22474,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-429596,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22475,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-109737,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22476,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-27563,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22477,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-7329,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22478,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-621,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22479,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-5090,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22480,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-2366,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22481,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-1713,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22482,21121,SULA3,3,2017-06-30,21499,itr,21682279,4322433,-18,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22483,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-4034641,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22484,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-3450608,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22485,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-429596,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22486,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-109737,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22487,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-27563,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22488,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-7329,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22489,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-621,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22490,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-5090,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22491,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-2366,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22492,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-1713,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22493,21121,SULA4,3,2017-06-30,21499,itr,21682279,4322433,-18,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22494,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-4034641,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22495,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-3450608,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22496,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-429596,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22497,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-109737,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22498,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-27563,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22499,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-7329,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22500,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-621,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22501,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-5090,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22502,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-2366,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22503,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-1713,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22504,21121,SULA11,3,2017-06-30,21499,itr,21682279,4322433,-18,0.129044,0.0309213,640000.0,28053000.0,8733000.0
22505,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-4070806,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22506,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-3446064,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22507,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-454548,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22508,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-125616,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22509,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-26926,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22510,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-7080,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22511,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,348,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22512,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-7200,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22513,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-2592,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22514,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-1067,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22515,21121,SULA11,3,2017-09-30,21519,itr,22412168,4550867,-61,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22516,21121,SULA3,3,2017-09-30,21519,itr,22412168,4550867,-4070806,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22517,21121,SULA3,3,2017-09-30,21519,itr,22412168,4550867,-3446064,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22518,21121,SULA3,3,2017-09-30,21519,itr,22412168,4550867,-454548,0.126665,0.0307648,706000.0,224919000.0,267529000.0
22519,21121,SULA3,3,2017-09-30,21519,itr,22412168,4550867,-125616,0.126665,0.0307648,706000.0,224919000.0,267529000.0
